,业务量
201801,42600.2
201802,28719.8
201803,42261
201804,38358.4
201805,40719.5
201806,41107.4
201807,40127.2
201808,39041.2
201809,42155.9
201810,43229.2
201811,55466.4
201812,50407.4
201901,53765.1
201902,31168.4
201903,45579.8
201904,42384.9
201905,45596.9
201906,49022.1
201907,47980.8
201908,50711.4
201909,56335.3
201910,64462.4
201911,81198.2
201912,77679.4
202001,61050.4
202002,60632.6
202003,81431.3
202004,67195
202005,69330.6
202006,68657.6
202007,62151.7
202008,62677.1
202009,
